time;realDistance;rssi
1706890568306;0;-49
1706890569314;0;-46
1706890570317;0;-44
1706890571319;0;-60
1706890572320;0;-52
1706890573323;0;-49
1706890574325;0;-47
1706890575326;0;-43
1706890576328;0;-50
1706890577329;0;-50
1706890578330;0;-43
1706890579332;0;-43
1706890580333;0;-49
1706890581335;0;-49
1706890582338;0;-50
1706890583339;0;-51
1706890584341;0;-51
1706890585343;0;-49
1706890586344;0;-50
1706890587346;0;-51
1706890588348;0;-51
1706890589351;0;-50
1706890590352;0;-43
1706890591353;0;-52
1706890592356;0;-51
1706890593357;0;-43
1706890594359;0;-43
1706890595364;0;-44
1706890596368;0;-50
1706890597371;0;-50
1706890598379;0;-50
1706890599383;0;-51
1706890600388;0;-50
1706890601391;0;-51
1706890602395;0;-51
1706890603399;0;-44
1706890604407;0;-52
1706890605412;0;-51
1706890606415;0;-44
1706890607419;0;-53
1706890608422;0;-50
1706890609428;0;-44
1706890610430;0;-53
1706890611433;0;-48
1706890612438;0;-42
1706890613442;0;-54
1706890614445;0;-45
1706890615449;0;-51
1706890616452;0;-44
1706890617453;0;-55
1706890618456;0;-46
1706890619459;0;-54
1706890620461;0;-54
1706890621463;0;-54
1706890622474;0;-45
1706890623477;0;-50
1706890624479;0;-44
1706890625480;0;-44
1706890626482;0;-53
1706890627485;0;-48
1706890628487;0;-44
1706890629496;0;-51
1706890630504;0;-51
1706890631507;0;-45
1706890632512;0;-51
1706890633516;0;-51
1706890634519;0;-41
1706890635521;0;-50
1706890636524;0;-48
1706890637526;0;-41
1706890638529;0;-41
1706890639532;0;-49
1706890640535;0;-50
1706890641539;0;-50
1706890642543;0;-51
1706890643544;0;-49
1706890644547;0;-42
1706890645551;0;-43
1706890646571;0;-52
1706890647574;0;-52
1706890648576;0;-50
1706890649580;0;-50
1706890650584;0;-51
1706890651587;0;-42
1706890652590;0;-50
1706890653606;0;-50
1706890654612;0;-40
1706890655615;0;-42
1706890656617;0;-49
1706890657621;0;-49
1706890658623;0;-49
1706890659627;0;-48
1706890660631;0;-48
1706890661634;0;-41
1706890662636;0;-47
1706890663639;0;-48
1706890664641;0;-48
1706890665644;0;-41
1706890666648;0;-50
1706890667653;0;-50
1706890453754;5;-64
1706890454761;5;-79
1706890455764;5;-66
1706890456768;5;-71
1706890457772;5;-63
1706890458775;5;-60
1706890459778;5;-64
1706890460784;5;-62
1706890461787;5;-62
1706890462788;5;-61
1706890463791;5;-62
1706890464794;5;-66
1706890465797;5;-68
1706890466800;5;-65
1706890467803;5;-65
1706890468806;5;-65
1706890469808;5;-64
1706890470812;5;-64
1706890471815;5;-61
1706890472819;5;-61
1706890473828;5;-62
1706890474829;5;-63
1706890475834;5;-61
1706890476836;5;-60
1706890477843;5;-60
1706890478848;5;-60
1706890479851;5;-64
1706890480854;5;-63
1706890481857;5;-63
1706890482860;5;-61
1706890483862;5;-63
1706890484865;5;-63
1706890485869;5;-63
1706890486872;5;-61
1706890487874;5;-62
1706890488877;5;-69
1706890489880;5;-61
1706890490893;5;-62
1706890491897;5;-61
1706890492899;5;-63
1706890493903;5;-61
1706890494905;5;-62
1706890495908;5;-61
1706890496910;5;-60
1706890497914;5;-61
1706890498917;5;-61
1706890499921;5;-60
1706890500924;5;-61
1706890501928;5;-61
1706890502931;5;-61
1706890503934;5;-61
1706890504937;5;-61
1706890505939;5;-62
1706890506951;5;-62
1706890507953;5;-61
1706890508955;5;-61
1706890509957;5;-57
1706890510959;5;-62
1706890511963;5;-62
1706890512965;5;-63
1706890513968;5;-68
1706890514970;5;-57
1706890515982;5;-58
1706890516984;5;-63
1706890517988;5;-68
1706890518991;5;-63
1706890519994;5;-65
1706890520997;5;-65
1706890522001;5;-59
1706890523004;5;-67
1706890524007;5;-66
1706890525010;5;-62
1706890526013;5;-66
1706890527019;5;-57
1706890528021;5;-62
1706890529023;5;-68
1706890530026;5;-58
1706890531028;5;-62
1706890532032;5;-62
1706890533035;5;-68
1706890534037;5;-62
1706890535041;5;-61
1706890536044;5;-61
1706890537047;5;-62
1706890538050;5;-61
1706890539053;5;-63
1706890540056;5;-61
1706890541058;5;-63
1706890542061;5;-63
1706890543063;5;-63
1706890544065;5;-57
1706890545066;5;-64
1706890546068;5;-58
1706890547076;5;-62
1706890548078;5;-64
1706890549081;5;-63
1706890550083;5;-57
1706890551088;5;-62
1706890552091;5;-67
1706890553101;5;-62
1706890334931;10;-76
1706890335934;10;-66
1706890336935;10;-72
1706890337937;10;-80
1706890338939;10;-76
1706890339940;10;-69
1706890340943;10;-71
1706890341945;10;-71
1706890342947;10;-72
1706890343948;10;-71
1706890344950;10;-68
1706890345952;10;-64
1706890346954;10;-70
1706890347955;10;-75
1706890348958;10;-67
1706890349961;10;-70
1706890350966;10;-67
1706890351970;10;-73
1706890352990;10;-68
1706890353994;10;-68
1706890354999;10;-71
1706890356002;10;-66
1706890357005;10;-68
1706890358008;10;-68
1706890359012;10;-69
1706890360015;10;-68
1706890361019;10;-66
1706890362021;10;-66
1706890363027;10;-71
1706890364029;10;-68
1706890365031;10;-76
1706890366034;10;-64
1706890367038;10;-73
1706890368047;10;-71
1706890369055;10;-62
1706890370058;10;-70
1706890371062;10;-66
1706890372064;10;-71
1706890373067;10;-70
1706890374070;10;-69
1706890375074;10;-70
1706890376077;10;-65
1706890377081;10;-72
1706890378084;10;-66
1706890379085;10;-70
1706890380088;10;-72
1706890381093;10;-66
1706890382096;10;-72
1706890383103;10;-66
1706890384110;10;-67
1706890385115;10;-71
1706890386119;10;-77
1706890387121;10;-65
1706890388126;10;-65
1706890389127;10;-70
1706890390129;10;-66
1706890391132;10;-66
1706890392137;10;-68
1706890393140;10;-63
1706890394143;10;-68
1706890395147;10;-72
1706890396149;10;-67
1706890397152;10;-66
1706890398156;10;-67
1706890399159;10;-70
1706890400170;10;-71
1706890401174;10;-71
1706890402177;10;-65
1706890403181;10;-64
1706890404183;10;-68
1706890405187;10;-66
1706890406190;10;-66
1706890407193;10;-61
1706890408197;10;-61
1706890409200;10;-66
1706890410203;10;-68
1706890411206;10;-67
1706890412209;10;-67
1706890413213;10;-67
1706890414215;10;-67
1706890415218;10;-67
1706890416221;10;-67
1706890417225;10;-68
1706890418231;10;-67
1706890419233;10;-68
1706890420235;10;-68
1706890421239;10;-67
1706890422256;10;-67
1706890423260;10;-67
1706890424263;10;-67
1706890425266;10;-66
1706890426269;10;-66
1706890427271;10;-71
1706890428274;10;-67
1706890429277;10;-67
1706890430279;10;-68
1706890431283;10;-70
1706890432286;10;-69
1706890433289;10;-68
1706890434292;10;-69
1706890203793;25;-77
1706890204812;25;-89
1706890205814;25;-88
1706890206816;25;-80
1706890207818;25;-79
1706890208821;25;-83
1706890209824;25;-83
1706890210827;25;-87
1706890211831;25;-81
1706890212833;25;-89
1706890213835;25;-94
1706890214839;25;-84
1706890215841;25;-79
1706890216846;25;-79
1706890217849;25;-81
1706890218853;25;-80
1706890219855;25;-93
1706890220858;25;-92
1706890221861;25;-77
1706890222864;25;-86
1706890223865;25;-88
1706890224870;25;-88
1706890225874;25;-85
1706890226878;25;-80
1706890227881;25;-77
1706890228882;25;-88
1706890229884;25;-88
1706890230889;25;-85
1706890231892;25;-73
1706890232894;25;-80
1706890233897;25;-76
1706890234901;25;-87
1706890235903;25;-82
1706890236906;25;-82
1706890237908;25;-78
1706890238911;25;-78
1706890239915;25;-84
1706890240917;25;-89
1706890241919;25;-72
1706890242922;25;-73
1706890243924;25;-78
1706890244927;25;-73
1706890245930;25;-79
1706890246933;25;-86
1706890247936;25;-86
1706890248937;25;-92
1706890249940;25;-84
1706890250943;25;-79
1706890251945;25;-78
1706890252948;25;-76
1706890253951;25;-80
1706890254953;25;-75
1706890255956;25;-92
1706890256958;25;-75
1706890257960;25;-82
1706890258964;25;-79
1706890259966;25;-75
1706890260969;25;-74
1706890261972;25;-74
1706890262978;25;-80
1706890263980;25;-86
1706890264984;25;-76
1706890265987;25;-90
1706890266990;25;-75
1706890267993;25;-83
1706890268999;25;-76
1706890270001;25;-82
1706890271004;25;-77
1706890272005;25;-81
1706890273008;25;-74
1706890274011;25;-74
1706890275012;25;-78
1706890276015;25;-74
1706890277018;25;-75
1706890278021;25;-77
1706890279024;25;-83
1706890280026;25;-71
1706890281028;25;-71
1706890282030;25;-81
1706890283033;25;-73
1706890284036;25;-73
1706890285038;25;-73
1706890286040;25;-84
1706890287043;25;-83
1706890288046;25;-85
1706890289049;25;-81
1706890290051;25;-76
1706890291054;25;-77
1706890292058;25;-77
1706890293061;25;-76
1706890294064;25;-76
1706890295066;25;-83
1706890296069;25;-83
1706890297072;25;-79
1706890298074;25;-90
1706890299076;25;-72
1706890300079;25;-81
1706890301082;25;-83
1706890302085;25;-76
1706890303087;25;-76
1706890073492;50;-79
1706890074495;50;-74
1706890075499;50;-75
1706890076502;50;-77
1706890077504;50;-71
1706890078520;50;-78
1706890079524;50;-75
1706890080526;50;-74
1706890081530;50;-74
1706890082532;50;-76
1706890083534;50;-76
1706890084537;50;-74
1706890085541;50;-76
1706890086544;50;-76
1706890087547;50;-76
1706890088551;50;-76
1706890089553;50;-75
1706890090555;50;-89
1706890091558;50;-70
1706890092561;50;-77
1706890093564;50;-86
1706890094567;50;-76
1706890095569;50;-80
1706890096572;50;-81
1706890097575;50;-73
1706890098578;50;-78
1706890099579;50;-82
1706890100581;50;-79
1706890101583;50;-76
1706890102588;50;-82
1706890103590;50;-76
1706890104594;50;-78
1706890105597;50;-80
1706890106599;50;-78
1706890107602;50;-80
1706890108605;50;-79
1706890109608;50;-78
1706890110610;50;-78
1706890111613;50;-76
1706890112617;50;-80
1706890113619;50;-80
1706890114623;50;-80
1706890115626;50;-83
1706890116629;50;-83
1706890117633;50;-80
1706890118636;50;-80
1706890119640;50;-81
1706890120653;50;-79
1706890121655;50;-76
1706890122657;50;-87
1706890123661;50;-77
1706890124675;50;-76
1706890125679;50;-74
1706890126683;50;-74
1706890127686;50;-78
1706890128689;50;-78
1706890129692;50;-76
1706890130695;50;-77
1706890131699;50;-74
1706890132703;50;-77
1706890133711;50;-76
1706890134714;50;-77
1706890135718;50;-75
1706890136720;50;-76
1706890137722;50;-84
1706890138724;50;-84
1706890139727;50;-84
1706890140730;50;-81
1706890141733;50;-76
1706890142735;50;-76
1706890143740;50;-75
1706890144742;50;-74
1706890145745;50;-78
1706890146748;50;-80
1706890147750;50;-75
1706890148752;50;-81
1706890149755;50;-72
1706890150758;50;-74
1706890151761;50;-87
1706890152763;50;-78
1706890153766;50;-75
1706890154769;50;-78
1706890155771;50;-76
1706890156774;50;-76
1706890157777;50;-73
1706890158780;50;-76
1706890159784;50;-71
1706890160787;50;-72
1706890161790;50;-73
1706890162794;50;-71
1706890163797;50;-72
1706890164800;50;-72
1706890165804;50;-73
1706890166806;50;-71
1706890167809;50;-71
1706890168812;50;-72
1706890169814;50;-71
1706890170822;50;-72
1706890171825;50;-68
1706890172827;50;-73
1706889903547;75;-84
1706889904550;75;-84
1706889905552;75;-88
1706889906555;75;-90
1706889907561;75;-83
1706889908562;75;-79
1706889909566;75;-79
1706889910569;75;-76
1706889911583;75;-76
1706889912588;75;-80
1706889913592;75;-80
1706889914596;75;-81
1706889915600;75;-80
1706889916603;75;-77
1706889917606;75;-77
1706889918609;75;-84
1706889919612;75;-83
1706889920615;75;-76
1706889921619;75;-73
1706889922624;75;-78
1706889923628;75;-81
1706889924631;75;-83
1706889925633;75;-76
1706889926637;75;-82
1706889927643;75;-82
1706889928646;75;-81
1706889929650;75;-79
1706889930661;75;-75
1706889931664;75;-80
1706889932666;75;-81
1706889933669;75;-82
1706889934673;75;-81
1706889935676;75;-80
1706889936680;75;-78
1706889937683;75;-80
1706889938687;75;-77
1706889939692;75;-79
1706889940696;75;-81
1706889941699;75;-77
1706889942703;75;-77
1706889943705;75;-82
1706889944708;75;-77
1706889945712;75;-78
1706889946715;75;-82
1706889947718;75;-77
1706889948722;75;-82
1706889949725;75;-81
1706889950728;75;-78
1706889951732;75;-78
1706889952736;75;-74
1706889953739;75;-74
1706889954742;75;-82
1706889955755;75;-74
1706889956759;75;-81
1706889957763;75;-84
1706889958767;75;-78
1706889959769;75;-80
1706889960773;75;-78
1706889961776;75;-76
1706889962779;75;-78
1706889963783;75;-82
1706889964785;75;-78
1706889965788;75;-79
1706889966791;75;-79
1706889967795;75;-78
1706889968799;75;-77
1706889969803;75;-81
1706889970806;75;-82
1706889971808;75;-82
1706889972811;75;-76
1706889973815;75;-79
1706889974818;75;-81
1706889975821;75;-82
1706889976825;75;-78
1706889977828;75;-79
1706889978831;75;-79
1706889979834;75;-81
1706889980845;75;-74
1706889981848;75;-78
1706889982851;75;-75
1706889983854;75;-75
1706889984856;75;-76
1706889985859;75;-81
1706889986863;75;-81
1706889987867;75;-74
1706889988872;75;-76
1706889989878;75;-79
1706889990880;75;-77
1706889991883;75;-79
1706889992887;75;-78
1706889993890;75;-76
1706889994895;75;-79
1706889995897;75;-77
1706889996902;75;-79
1706889997906;75;-77
1706889998909;75;-77
1706889999916;75;-78
1706890000919;75;-76
